# Constructed from biom file
#OTU ID	k__Archaea;p__Euryarchaeota	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Ignavibacteriae	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Saccharibacteria	k__Bacteria;p__Synergistetes	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WWE3
GILSM.5	0.0	0.0	1312.0	0.0	8945.0	0.0	0.0	0.0	6864.0	0.0	0.0	0.0	0.0	0.0	2858.0	21.0	0.0	0.0	0.0	0.0	0.0
GILSM.20	0.0	0.0	979.0	0.0	13841.0	0.0	0.0	0.0	4818.0	1.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR2057183	44.0	0.0	29.0	0.0	3469.0	0.0	0.0	0.0	13813.0	0.0	0.0	0.0	1.0	0.0	193.0	0.0	38.0	576.0	0.0	1837.0	0.0
GILSM.7	0.0	0.0	64.0	1.0	11115.0	1.0	0.0	0.0	8667.0	0.0	0.0	0.0	5.0	1.0	136.0	0.0	10.0	0.0	0.0	0.0	0.0
GILSM.24	0.0	0.0	179.0	0.0	14174.0	0.0	0.0	0.0	5237.0	0.0	0.0	0.0	0.0	1.0	396.0	0.0	0.0	13.0	0.0	0.0	0.0
GILSM.21	0.0	0.0	19.0	0.0	14255.0	0.0	0.0	0.0	5335.0	0.0	0.0	0.0	0.0	0.0	389.0	2.0	0.0	0.0	0.0	0.0	0.0
GILSM.14	0.0	0.0	39.0	0.0	9841.0	0.0	1.0	0.0	9965.0	0.0	0.0	0.0	0.0	0.0	150.0	1.0	0.0	3.0	0.0	0.0	0.0
GILSM.9	31.0	0.0	193.0	0.0	12260.0	0.0	0.0	0.0	7039.0	0.0	0.0	0.0	0.0	1.0	267.0	0.0	0.0	209.0	0.0	0.0	0.0
GILSM.18	0.0	0.0	1107.0	0.0	2853.0	0.0	1.0	0.0	15939.0	0.0	0.0	0.0	0.0	0.0	40.0	2.0	0.0	53.0	0.0	5.0	0.0
ERR1072631	3.0	0.0	488.0	0.0	4058.0	0.0	2.0	0.0	9948.0	0.0	0.0	0.0	12.0	0.0	5195.0	0.0	1.0	233.0	0.0	60.0	0.0
ERR2057190	0.0	0.0	22.0	0.0	5123.0	0.0	0.0	0.0	8867.0	0.0	0.0	0.0	4.0	0.0	5755.0	0.0	3.0	18.0	0.0	208.0	0.0
